[0.000000] (-) TimerEvent: {}
[0.000486] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000529] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000546] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000562] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000577] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000591] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000605] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000620] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000633] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000647] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000661] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000675] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000689] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000703] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000716] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000730] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000744] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000758] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000771] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000786] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000799] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000814] (-) EventReactorShutdown: {}
