[0.000000] (-) TimerEvent: {}
[0.000388] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000505] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000524] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000539] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000554] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000568] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000582] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000596] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000610] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000623] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000636] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000656] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000674] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000689] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000704] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000718] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000732] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000747] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000761] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000776] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000790] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000804] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000819] (-) EventReactorShutdown: {}
