[0.000000] (-) TimerEvent: {}
[0.000360] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000404] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000509] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000533] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000556] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000577] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000598] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000618] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000638] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000658] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000678] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000698] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000718] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000805] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000820] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000829] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000836] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000843] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000849] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000857] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000864] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000871] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000878] (-) EventReactorShutdown: {}
