[0.000000] (-) TimerEvent: {}
[0.000424] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000445] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000457] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000467] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000477] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000487] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000496] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000506] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000515] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000525] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000534] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000544] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000553] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000562] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000570] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000579] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000588] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000597] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000606] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000615] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000624] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000632] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000760] (-) EventReactorShutdown: {}
