[0.000000] (-) TimerEvent: {}
[0.000386] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000429] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000456] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000475] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000492] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000509] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000525] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000541] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000557] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000572] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000588] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000603] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000618] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000633] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000648] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000664] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000679] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000694] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000710] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000726] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000741] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000756] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000884] (-) EventReactorShutdown: {}
