[0.000000] (-) TimerEvent: {}
[0.000352] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000463] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000481] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000496] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000512] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000527] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000541] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000554] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000568] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000581] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000594] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000607] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000621] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000635] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000649] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000663] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000677] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000691] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000705] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000720] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000735] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000751] (-) EventReactorShutdown: {}
