[0.000000] (-) TimerEvent: {}
[0.000332] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000438] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000456] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000471] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000486] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000500] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000514] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000527] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000541] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000554] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000568] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000581] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000594] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000608] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000628] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000644] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000658] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000671] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000684] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000698] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000711] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000725] (-) EventReactorShutdown: {}
