[0.000000] (-) TimerEvent: {}
[0.000280] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000332] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000368] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000410] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000445] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000477] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000507] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000535] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000564] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000593] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000621] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000649] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000677] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000705] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000733] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000761] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000789] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000818] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000846] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000875] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000902] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000930] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000959] (-) EventReactorShutdown: {}
