[0.000000] (-) TimerEvent: {}
[0.000317] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000418] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000434] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000447] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000459] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000471] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000483] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000494] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000506] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000517] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000528] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000539] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000551] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000562] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000573] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000584] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000595] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000606] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000623] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000638] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000649] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000660] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000672] (-) EventReactorShutdown: {}
