[0.000000] (-) TimerEvent: {}
[0.000358] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000471] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000492] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000508] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000524] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000539] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000554] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000568] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000583] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000597] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000611] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000639] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000653] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000667] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000681] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000696] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000710] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000723] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000737] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000752] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000765] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000779] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000793] (-) EventReactorShutdown: {}
