[0.000000] (-) TimerEvent: {}
[0.000391] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000428] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000449] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000467] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000484] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000501] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000517] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000533] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000549] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000564] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000580] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000595] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000610] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000626] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000641] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000656] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000671] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000687] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000702] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000718] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000733] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000748] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000882] (-) EventReactorShutdown: {}
