[0.000000] (-) TimerEvent: {}
[0.000343] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000386] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000414] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000437] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000459] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000480] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000501] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000522] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000542] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000563] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000583] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000603] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000623] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000643] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000663] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000683] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000703] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000723] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000743] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000766] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000788] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000810] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000834] (-) EventReactorShutdown: {}
