[0.000000] (-) TimerEvent: {}
[0.000442] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000607] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000638] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000678] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000709] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000821] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000843] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000865] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000885] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000906] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000926] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000946] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000966] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000986] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.001006] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.001026] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.001046] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.001066] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.001086] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.001107] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.001133] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.001156] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.001176] (-) EventReactorShutdown: {}
