[0.000000] (-) TimerEvent: {}
[0.000331] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000349] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000359] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000367] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000376] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000384] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000392] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000401] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000411] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000419] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000426] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000434] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000443] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000451] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000458] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000466] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000474] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000481] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000489] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000497] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000505] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000512] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000623] (-) EventReactorShutdown: {}
