[0.000000] (-) TimerEvent: {}
[0.000313] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000358] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000388] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000414] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000440] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000467] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000492] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000516] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000540] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000563] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000587] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000758] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000807] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000828] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000847] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000864] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000879] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000896] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000912] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000930] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000946] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000965] (-) EventReactorShutdown: {}
