[0.000000] (-) TimerEvent: {}
[0.000285] (-) JobUnselected: {'identifier': 'amr_log'}
[0.000316] (-) JobUnselected: {'identifier': 'arrow_key_teleop'}
[0.000345] (-) JobUnselected: {'identifier': 'final_approach_controller'}
[0.000473] (-) JobUnselected: {'identifier': 'iai_cylinder'}
[0.000490] (-) JobUnselected: {'identifier': 'js0_teleop'}
[0.000507] (-) JobUnselected: {'identifier': 'megarover3'}
[0.000523] (-) JobUnselected: {'identifier': 'megarover3_bringup'}
[0.000539] (-) JobUnselected: {'identifier': 'megarover3_navigation'}
[0.000555] (-) JobUnselected: {'identifier': 'megarover_description'}
[0.000570] (-) JobUnselected: {'identifier': 'my_scan_merger'}
[0.000586] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000601] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000617] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000632] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000647] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000662] (-) JobUnselected: {'identifier': 'ros2_to_ros1_bridge'}
[0.000677] (-) JobUnselected: {'identifier': 'shelf_navigator'}
[0.000692] (-) JobUnselected: {'identifier': 'trajectory_logger'}
[0.000707] (-) JobUnselected: {'identifier': 'udp_bridge'}
[0.000723] (-) JobUnselected: {'identifier': 'vs_rover_options_description'}
[0.000738] (-) JobUnselected: {'identifier': 'wall_ransac_initializer'}
[0.000754] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000948] (-) EventReactorShutdown: {}
